Date,LocationID,Week_days,Daily_trips,1_day_lag,2_days_lag,3_days_lag,4_days_lag,5_days_lag,6_days_lag,7_days_lag,8_days_lag,9_days_lag,10_days_lag
2023-01-14,13,Saturday,420,572.0,645.0,683.0,633.0,456.0,278.0,417.0,507.0,614.0,493.0
2023-01-14,24,Saturday,278,311.0,311.0,300.0,271.0,239.0,225.0,320.0,306.0,288.0,277.0
2023-01-14,43,Saturday,1938,1806.0,1696.0,1549.0,1550.0,1376.0,1340.0,1919.0,1994.0,1859.0,1464.0
2023-01-14,48,Saturday,3712,2966.0,2865.0,2638.0,2501.0,2039.0,2725.0,3232.0,2787.0,2632.0,2360.0
2023-01-14,50,Saturday,648,685.0,632.0,617.0,553.0,464.0,578.0,651.0,628.0,532.0,491.0
2023-01-14,68,Saturday,3128,2807.0,2792.0,2549.0,2289.0,1897.0,1953.0,2599.0,2400.0,2281.0,2015.0
2023-01-14,70,Saturday,354,530.0,440.0,410.0,432.0,470.0,410.0,307.0,405.0,417.0,485.0
2023-01-14,75,Saturday,506,709.0,685.0,666.0,645.0,636.0,479.0,635.0,782.0,770.0,812.0
2023-01-14,79,Saturday,5176,2770.0,2023.0,1801.0,1458.0,1221.0,3421.0,4470.0,2607.0,1723.0,1555.0
2023-01-14,87,Saturday,510,515.0,559.0,543.0,446.0,358.0,320.0,444.0,405.0,466.0,418.0
2023-01-14,88,Saturday,239,239.0,288.0,260.0,238.0,173.0,141.0,222.0,206.0,260.0,256.0
2023-01-14,90,Saturday,2182,1761.0,1719.0,1554.0,1557.0,1144.0,1491.0,1991.0,1570.0,1349.0,1288.0
2023-01-14,100,Saturday,1739,1691.0,1911.0,1835.0,1780.0,1441.0,1143.0,1479.0,1594.0,1669.0,1569.0
2023-01-14,107,Saturday,2910,2467.0,2365.0,2320.0,2170.0,1606.0,1852.0,2654.0,2280.0,2099.0,1937.0
2023-01-14,113,Saturday,1850,1575.0,1388.0,1283.0,1251.0,998.0,1059.0,1628.0,1355.0,1225.0,1168.0
2023-01-14,114,Saturday,2520,1526.0,1076.0,1004.0,893.0,665.0,1619.0,2236.0,1356.0,993.0,824.0
2023-01-14,125,Saturday,619,444.0,519.0,531.0,403.0,336.0,420.0,575.0,413.0,439.0,304.0
2023-01-14,132,Saturday,5359,5780.0,5210.0,4629.0,4580.0,5590.0,6455.0,5158.0,4877.0,5617.0,6006.0
2023-01-14,137,Saturday,1278,1445.0,1360.0,1322.0,1202.0,1046.0,984.0,1283.0,1366.0,1276.0,1165.0
2023-01-14,138,Saturday,2471,4182.0,3285.0,2432.0,2772.0,2972.0,3034.0,1961.0,2600.0,2978.0,3182.0
2023-01-14,140,Saturday,1605,2485.0,2712.0,2769.0,2740.0,2483.0,1308.0,1616.0,2466.0,2659.0,2490.0
2023-01-14,141,Saturday,2954,2927.0,2865.0,2859.0,2659.0,2290.0,2232.0,2995.0,3002.0,2664.0,2571.0
2023-01-14,142,Saturday,3797,3473.0,3514.0,3409.0,3224.0,2557.0,2696.0,3661.0,3454.0,3470.0,3016.0
2023-01-14,143,Saturday,1037,1234.0,1360.0,1294.0,1265.0,1141.0,846.0,1059.0,1226.0,1273.0,1202.0
2023-01-14,144,Saturday,1308,923.0,656.0,659.0,586.0,466.0,780.0,1175.0,765.0,676.0,655.0
2023-01-14,148,Saturday,2286,915.0,678.0,573.0,448.0,313.0,1784.0,2095.0,807.0,570.0,377.0
2023-01-14,151,Saturday,860,1011.0,883.0,902.0,846.0,817.0,744.0,927.0,927.0,895.0,824.0
2023-01-14,158,Saturday,1325,994.0,812.0,713.0,485.0,442.0,898.0,1177.0,832.0,627.0,529.0
2023-01-14,161,Saturday,3916,4636.0,5627.0,5788.0,5323.0,3953.0,2265.0,3273.0,4306.0,5013.0,4331.0
2023-01-14,162,Saturday,2784,3584.0,4413.0,4299.0,4100.0,3267.0,1938.0,2514.0,3320.0,3869.0,3729.0
2023-01-14,163,Saturday,3033,2962.0,3205.0,3111.0,3104.0,2376.0,1899.0,2375.0,2638.0,2923.0,2680.0
2023-01-14,164,Saturday,2477,2499.0,2569.0,2390.0,2301.0,1742.0,1724.0,2170.0,2047.0,2153.0,1991.0
2023-01-14,166,Saturday,343,470.0,492.0,454.0,410.0,412.0,291.0,399.0,487.0,439.0,397.0
2023-01-14,170,Saturday,2734,3087.0,3493.0,3439.0,3186.0,2556.0,1989.0,2606.0,2949.0,2946.0,2948.0
2023-01-14,186,Saturday,3515,3871.0,4115.0,3931.0,3784.0,3290.0,3002.0,3300.0,3448.0,3241.0,3225.0
2023-01-14,211,Saturday,1159,780.0,625.0,559.0,516.0,437.0,755.0,1032.0,716.0,535.0,461.0
2023-01-14,229,Saturday,2197,2285.0,2352.0,2283.0,2241.0,1842.0,1600.0,2153.0,2189.0,2127.0,1947.0
2023-01-14,230,Saturday,4270,3556.0,3743.0,3783.0,3231.0,2462.0,2969.0,3023.0,2982.0,3115.0,3168.0
2023-01-14,231,Saturday,1283,1364.0,1566.0,1492.0,1376.0,1073.0,900.0,1302.0,1266.0,1424.0,1138.0
2023-01-14,233,Saturday,1225,1407.0,1478.0,1358.0,1267.0,1149.0,874.0,1099.0,1171.0,1282.0,1191.0
2023-01-14,234,Saturday,3135,2893.0,3078.0,3175.0,2841.0,2050.0,2012.0,2873.0,2670.0,2611.0,2309.0
2023-01-14,236,Saturday,3600,4930.0,5597.0,5320.0,5304.0,4587.0,3063.0,4171.0,5301.0,5312.0,5134.0
2023-01-14,237,Saturday,3952,5069.0,5893.0,5761.0,5583.0,4550.0,2990.0,4291.0,5177.0,5226.0,5219.0
2023-01-14,238,Saturday,1807,2338.0,2400.0,2360.0,2179.0,2013.0,1710.0,2029.0,2456.0,2363.0,2056.0
2023-01-14,239,Saturday,3202,3121.0,2927.0,2961.0,2731.0,2536.0,2690.0,3293.0,3159.0,2800.0,2745.0
2023-01-14,246,Saturday,2138,1415.0,1544.0,1334.0,1160.0,912.0,1170.0,1554.0,1222.0,1324.0,1096.0
2023-01-14,249,Saturday,3978,2558.0,1997.0,1816.0,1583.0,1286.0,2582.0,3733.0,2203.0,1651.0,1440.0
2023-01-14,261,Saturday,550,414.0,468.0,401.0,394.0,319.0,325.0,490.0,419.0,436.0,432.0
2023-01-14,262,Saturday,1229,1609.0,1630.0,1696.0,1622.0,1399.0,1076.0,1436.0,1699.0,1552.0,1479.0
2023-01-14,263,Saturday,2589,2451.0,2289.0,2046.0,1955.0,1797.0,2136.0,2656.0,2420.0,2035.0,1967.0
2023-01-15,13,Sunday,339,420.0,572.0,645.0,683.0,633.0,456.0,278.0,417.0,507.0,614.0
2023-01-15,24,Sunday,232,278.0,311.0,311.0,300.0,271.0,239.0,225.0,320.0,306.0,288.0
2023-01-15,43,Sunday,1399,1938.0,1806.0,1696.0,1549.0,1550.0,1376.0,1340.0,1919.0,1994.0,1859.0
2023-01-15,48,Sunday,3283,3712.0,2966.0,2865.0,2638.0,2501.0,2039.0,2725.0,3232.0,2787.0,2632.0
2023-01-15,50,Sunday,573,648.0,685.0,632.0,617.0,553.0,464.0,578.0,651.0,628.0,532.0
2023-01-15,68,Sunday,2688,3128.0,2807.0,2792.0,2549.0,2289.0,1897.0,1953.0,2599.0,2400.0,2281.0
2023-01-15,70,Sunday,416,354.0,530.0,440.0,410.0,432.0,470.0,410.0,307.0,405.0,417.0
